,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
HD,0.3339388469494922,0.3416962232635837,0.5199116880918689,0.4219272966937496,0.4594314315752924,0.3167526629585429,0.39815179104504733,0.3897134901865427,0.4729992870864662,0.17536800849338108,0.4931054233569022,1.0,0.4728138361562343,0.4291527300647347,0.4199012175132171,0.33202701694905457,0.5118769585687385,0.35980941596317756,0.41068105141284106,0.4814736070496074,0.3232717727816852,0.4323111604483969,0.449593331802678,0.32487465409189203,0.4473963342623493,0.3542991098003607,0.3686087259058247,0.3644410098324064,0.38599483895563974,0.5278200586332994
HON,0.3517781568337079,0.32508120309181704,0.547463137323288,0.5587260911438909,0.594096964428749,0.31389763751988886,0.44657064916809824,0.4974729838839193,0.5261862100065925,0.22069684104601558,0.5037695329024265,0.4728138361562343,1.0,0.4738768976693489,0.44279580343354347,0.3825102121130313,0.5229282513667185,0.3785476486275987,0.37049945501226267,0.577950729746097,0.3611265185545623,0.4671874410268741,0.4036096370789083,0.339623682780331,0.4805577600478207,0.37486652548380384,0.3897288722067512,0.37238142538433,0.35298478261347205,0.3412901284166978
IBM,0.41458524947950365,0.3353590494927559,0.47536602264771316,0.4019498252861045,0.4621317501927534,0.31336787135856636,0.531986558709776,0.4139779471490005,0.46581251330119566,0.2449211671304071,0.47961182186759843,0.4291527300647347,0.4738768976693489,1.0,0.5298138550084273,0.3479142609266041,0.4900912516082395,0.3358585012708199,0.3332766061321363,0.4554994625317018,0.30463816404244143,0.5092199724741058,0.37458850210968964,0.2893720913705081,0.4089704827870445,0.2972878461196491,0.3562027054203402,0.38489092199138225,0.33157704331702675,0.3365961186332773
INTC,0.49697488593931904,0.3723701820148718,0.4617844587615578,0.3676273858698109,0.4284374200488133,0.30919611299132593,0.6205639912604441,0.34896766022788545,0.4272951643757423,0.16492634080935342,0.46563528653145847,0.4199012175132171,0.44279580343354347,0.5298138550084273,1.0,0.29190144285741304,0.45357756120581066,0.28817944511230703,0.2810533372338222,0.41834294006747225,0.28159645592894683,0.6026350602546034,0.33715903817926773,0.2673492147426105,0.377803180383967,0.2642700665531571,0.31698351566778055,0.3485941037085819,0.29318197423912695,0.3243507895614026
JNJ,0.2298227306922594,0.39352100381956884,0.3891546237287739,0.3523114469578142,0.3684466419875419,0.24484879762486322,0.2710622165413893,0.4193649417361815,0.3597047292644577,0.16420027784935273,0.32245439970118384,0.33202701694905457,0.3825102121130313,0.3479142609266041,0.29190144285741304,1.0,0.3345977608939702,0.4459106966757427,0.3347112514217391,0.46710290300787977,0.5263920757991826,0.34984042322591785,0.32075059661240635,0.46701055435437844,0.37713007611543853,0.3963131607689916,0.33240755261308336,0.38408957156705303,0.3931274020644482,0.3535997003885389
JPM,0.3624155798292227,0.3302081823991181,0.7104961579826876,0.4536868821195936,0.5286535576086527,0.3205651225828108,0.4555650849432795,0.47070474129348217,0.5120869856397008,0.2236948761649813,0.7210607728876005,0.5118769585687385,0.5229282513667185,0.4900912516082395,0.45357756120581066,0.3345977608939702,1.0,0.3384446683104593,0.3504452209159435,0.5007862449981617,0.34624474414994544,0.4591336257589155,0.4152584969909681,0.3097410666863253,0.5634810280584261,0.36192279821175705,0.45781307724632914,0.42149079471998413,0.35965853989155916,0.343725675379896
KO,0.22475070722702406,0.2811201648246654,0.38946537025928235,0.3711392782579417,0.3668728998913164,0.237399654926433,0.2590011711621006,0.40177601923578116,0.3620121960683339,0.22015255239134032,0.2964531289168739,0.35980941596317756,0.3785476486275987,0.3358585012708199,0.28817944511230703,0.4459106966757427,0.3384446683104593,1.0,0.37096349485663926,0.42782266362357685,0.3637610693830623,0.33810151679700245,0.33724597097979975,0.4776456369807833,0.3873885497617416,0.3553593451810132,0.2908982715381728,0.3890937557342704,0.3429716366540641,0.34150588843806073
MCD,0.25436472468445565,0.25562855536048656,0.3961193836226195,0.3733371401691586,0.34351947685098533,0.26757360014064047,0.30069055253771004,0.3761848205367189,0.37872769493148173,0.19590823996707746,0.3266987577592136,0.41068105141284106,0.37049945501226267,0.3332766061321363,0.2810533372338222,0.3347112514217391,0.3504452209159435,0.37096349485663926,1.0,0.3841759003443491,0.3153933446366774,0.31882156673314255,0.3538134965853056,0.35303506574860655,0.40187481127088426,0.31159443973498313,0.3268240139853871,0.3062455567197028,0.2955785067358995,0.33554141758341216
MMM,0.3286886188752005,0.35862083003925854,0.5352525336499444,0.4710978051814554,0.5992070040919006,0.3183388031622424,0.41167517132391535,0.49782800134831884,0.47816637045492927,0.25085088843984826,0.4838730069902415,0.4814736070496074,0.577950729746097,0.4554994625317018,0.41834294006747225,0.46710290300787977,0.5007862449981617,0.42782266362357685,0.3841759003443491,1.0,0.3727622498392143,0.41645319889393556,0.42576452017949684,0.4241632747709896,0.4876410805969477,0.3978324218500917,0.396045529576667,0.3825732685037772,0.39291839420880187,0.3918373737629968
MRK,0.21809930087228172,0.3822876812762674,0.367262726871823,0.3059547196327028,0.32705791701230935,0.2543446698161774,0.24766920372291654,0.3921041023397716,0.33147640626636826,0.12211701903375705,0.3136004122541765,0.3232717727816852,0.3611265185545623,0.30463816404244143,0.28159645592894683,0.5263920757991826,0.34624474414994544,0.3637610693830623,0.3153933446366774,0.3727622498392143,1.0,0.31460194298654953,0.2781646337850592,0.3728568411121753,0.3746305353378832,0.35321401260485336,0.2981776923420742,0.3711167549946876,0.32637685286133905,0.3130128775070821
