,AAPL,AMGN,AXP,BA,CAT,CRM,CSCO,CVX,DIS,DOW,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PG,TRV,UNH,V,VZ,WBA,WMT
2000-02-11,212251200.0,8105000.0,6520964.0,3132800.0,11944800.0,,75471000.0,5019800.0,7247035.0,,856900.0,4647100.0,3398472.0,5749400.0,37756000.0,10233200.0,7052550.0,7688600.0,3920500.0,4491600.0,9213400.0,115559000.0,12644800.0,5335000.0,680900.0,18896000.0,,3436808.0,1228000.0,4816700.0
2000-02-14,367539200.0,8794600.0,5418371.0,2606300.0,6787800.0,,49103800.0,5039800.0,5201622.0,,627800.0,3173900.0,3405500.0,4544000.0,34374200.0,7373000.0,5904750.0,7134000.0,4426400.0,3356400.0,8933100.0,81028600.0,17859200.0,5252200.0,436300.0,7276000.0,,2905520.0,966100.0,5803600.0
2000-02-15,485744000.0,8358400.0,4668114.0,3961300.0,6048200.0,,61367200.0,6143400.0,7082717.0,,542400.0,3531100.0,3576682.0,5177500.0,62771400.0,9863400.0,8965500.0,7850800.0,4669200.0,3736000.0,6377100.0,71027600.0,30056000.0,6864000.0,689700.0,16885600.0,,3995896.0,1606600.0,9712100.0
2000-02-16,378246400.0,11654800.0,7616703.0,3423000.0,3881400.0,,46274000.0,4749200.0,4475215.0,,720300.0,6829800.0,2862479.0,3966900.0,46050000.0,9247200.0,4829700.0,6869200.0,3804900.0,2581800.0,5137400.0,65202600.0,22678400.0,5314600.0,1297000.0,16412800.0,,3747375.0,1423500.0,13585800.0
2000-02-17,289497600.0,14842800.0,14201074.0,3400500.0,3824200.0,,39656600.0,3735800.0,4756310.0,,895500.0,10785700.0,2501653.0,5237500.0,48669600.0,5774400.0,5716200.0,11661000.0,4272000.0,3405400.0,6936900.0,80343400.0,14977600.0,4682400.0,562200.0,12419200.0,,3358638.0,1777700.0,24766700.0
2000-02-18,233441600.0,14959700.0,15618645.0,5559500.0,3017800.0,,41600000.0,3570400.0,6493867.0,,925500.0,10402700.0,2509625.0,7673400.0,50370000.0,8246200.0,8121300.0,11443400.0,5494900.0,2864200.0,6617100.0,79063000.0,26087200.0,4651600.0,529900.0,15170400.0,,4291229.0,2071400.0,19394400.0
2000-02-22,422296000.0,8657100.0,13781561.0,4771400.0,4028800.0,,61144400.0,3526400.0,12744146.0,,720100.0,8019200.0,2590601.0,7654800.0,45793600.0,7307400.0,7068600.0,10543000.0,4479500.0,2884600.0,9199400.0,66296200.0,12847200.0,5226800.0,966400.0,5828800.0,,3589701.0,1944300.0,12342600.0
2000-02-23,473099200.0,9098600.0,10902205.0,3880800.0,4894400.0,,105707800.0,3770000.0,8371718.0,,702900.0,6533700.0,2300892.0,7435300.0,40842000.0,8293200.0,4452900.0,11021600.0,4927400.0,4460800.0,7728500.0,75847200.0,12624800.0,5357000.0,1101500.0,9806400.0,,4013798.0,2285400.0,12874400.0
2000-02-24,376432000.0,9630100.0,19860733.0,4210800.0,4488200.0,,74976000.0,5415600.0,8338672.0,,1199800.0,7763600.0,3674965.0,9112000.0,85347800.0,18512800.0,5199900.0,15451600.0,6154300.0,3800200.0,9066800.0,69733200.0,16156800.0,7223200.0,803000.0,13012000.0,,6266716.0,2963300.0,19431900.0
2000-02-25,249144000.0,8556500.0,16576260.0,3170600.0,4139800.0,,46451200.0,6453400.0,8440649.0,,1333000.0,6155600.0,2698324.0,10312200.0,46299000.0,13221400.0,4644300.0,10905200.0,4551200.0,3627200.0,7701300.0,65301400.0,14830400.0,7177200.0,545200.0,9658400.0,,5269521.0,3820600.0,16908500.0
2000-02-28,328328000.0,13264800.0,16359648.0,3573300.0,3319200.0,,52048400.0,5097800.0,7943639.0,,518000.0,8120100.0,3050653.0,8479900.0,47422200.0,13537800.0,6051000.0,10790800.0,3880600.0,3076600.0,8488200.0,76131800.0,16385600.0,7081600.0,971800.0,8533600.0,,4322586.0,2129900.0,17836100.0
